Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,0.808260,0.808610,0.804540,0.808160,0.808160,0
2023-11-07,0.810080,0.814520,0.809874,0.810010,0.810010,0
2023-11-08,0.813660,0.816770,0.812920,0.813550,0.813550,0
2023-11-09,0.813930,0.816070,0.812400,0.814000,0.814000,0
2023-11-10,0.818600,0.820410,0.817110,0.818530,0.818530,0
