Date,Open,High,Low,Close,Adj Close,Volume
2013-11-04,0.912410,0.914800,0.910200,0.912400,0.912400,0
2013-11-05,0.909760,0.914610,0.909400,0.909700,0.909700,0
2013-11-06,0.913500,0.913840,0.909800,0.913500,0.913500,0
2013-11-07,0.911830,0.924340,0.910700,0.911850,0.911850,0
2013-11-08,0.916640,0.924420,0.915550,0.916630,0.916630,0
2013-11-11,0.922800,0.922800,0.918910,0.922870,0.922870,0
2013-11-12,0.919400,0.922510,0.915600,0.919400,0.919400,0
2013-11-13,0.917290,0.919990,0.915800,0.917230,0.917230,0
2013-11-14,0.913850,0.918660,0.913100,0.913500,0.913500,0
2013-11-15,0.917800,0.919030,0.913160,0.917840,0.917840,0
2013-11-18,0.915470,0.916060,0.909500,0.915420,0.915420,0
2013-11-19,0.912810,0.914360,0.910400,0.912800,0.912800,0
2013-11-20,0.908700,0.915100,0.908700,0.908680,0.908680,0
2013-11-21,0.917030,0.918760,0.913700,0.916870,0.916870,0
2013-11-22,0.913800,0.914890,0.907560,0.914000,0.914000,0
2013-11-25,0.906930,0.912670,0.906800,0.906950,0.906950,0
2013-11-26,0.910660,0.911220,0.907510,0.910760,0.910760,0
2013-11-27,0.906880,0.908070,0.904100,0.906850,0.906850,0
2013-11-28,0.908000,0.908520,0.904100,0.908260,0.908260,0
2013-11-29,0.905900,0.906500,0.902900,0.905890,0.905890,0
2013-12-02,0.906340,0.910820,0.904310,0.906380,0.906380,0
2013-12-03,0.908700,0.909900,0.903790,0.908670,0.908670,0
2013-12-04,0.904100,0.907490,0.901300,0.904200,0.904200,0
2013-12-05,0.902310,0.904680,0.897700,0.902420,0.902420,0
2013-12-06,0.896600,0.898230,0.893490,0.896600,0.896600,0
2013-12-09,0.892300,0.893300,0.891100,0.892210,0.892210,0
2013-12-10,0.890150,0.890500,0.885140,0.890050,0.890050,0
2013-12-11,0.887140,0.888530,0.884790,0.887000,0.887000,0
2013-12-12,0.886830,0.889400,0.884700,0.886700,0.886700,0
2013-12-13,0.889500,0.891600,0.888110,0.889340,0.889340,0
2013-12-16,0.890100,0.890100,0.884760,0.889600,0.889600,0
2013-12-17,0.887000,0.889120,0.885500,0.887100,0.887100,0
2013-12-18,0.884850,0.890130,0.884600,0.884760,0.884760,0
2013-12-19,0.894240,0.898400,0.893370,0.894310,0.894310,0
2013-12-20,0.898100,0.900000,0.893090,0.898300,0.898300,0
2013-12-23,0.895500,0.896600,0.892390,0.895350,0.895350,0
2013-12-24,0.893610,0.897100,0.893480,0.893530,0.893530,0
2013-12-25,0.895510,0.896870,0.894800,0.895510,0.895510,0
2013-12-26,0.895800,0.896760,0.895000,0.896300,0.896300,0
2013-12-27,0.896240,0.896340,0.881390,0.896150,0.896150,0
2013-12-30,0.891380,0.893030,0.887000,0.891400,0.891400,0
2013-12-31,0.887200,0.891710,0.886500,0.887200,0.887200,0
2014-01-01,0.892690,0.892800,0.892690,0.892690,0.892690,0
2014-01-02,0.891400,0.902600,0.890790,0.891500,0.891500,0
2014-01-03,0.899130,0.904300,0.898800,0.899140,0.899140,0
2014-01-06,0.905190,0.907000,0.903140,0.905030,0.905030,0
2014-01-07,0.903800,0.909600,0.903670,0.903760,0.903760,0
2014-01-08,0.909300,0.912640,0.907600,0.909320,0.909320,0
2014-01-09,0.911520,0.912300,0.907200,0.911500,0.911500,0
2014-01-10,0.906900,0.908440,0.900500,0.906830,0.906830,0
2014-01-13,0.902050,0.904690,0.900400,0.902000,0.902000,0
2014-01-14,0.899250,0.903120,0.898670,0.899200,0.899200,0
2014-01-15,0.903060,0.910560,0.902600,0.903000,0.903000,0
2014-01-16,0.909000,0.910200,0.903400,0.909200,0.909200,0
2014-01-17,0.905000,0.909350,0.904340,0.904780,0.904780,0
2014-01-20,0.911400,0.913140,0.909000,0.911400,0.911400,0
2014-01-21,0.910850,0.915100,0.910620,0.910860,0.910860,0
2014-01-22,0.910500,0.912150,0.908870,0.910300,0.910300,0
2014-01-23,0.912200,0.913240,0.899000,0.912220,0.912220,0
2014-01-24,0.898080,0.899010,0.890500,0.898020,0.898020,0
2014-01-27,0.893800,0.898300,0.893210,0.893800,0.893800,0
2014-01-28,0.896380,0.900670,0.895300,0.896390,0.896390,0
2014-01-29,0.899600,0.900600,0.893700,0.899590,0.899590,0
2014-01-30,0.894900,0.902510,0.894450,0.895000,0.895000,0
2014-01-31,0.902500,0.906500,0.900840,0.902470,0.902470,0
2014-02-03,0.906490,0.907950,0.901750,0.906490,0.906490,0
