Date,Open,High,Low,Close,Adj Close,Volume
2013-11-04,0.741090,0.743770,0.739640,0.741070,0.741070,0
2013-11-05,0.739860,0.743510,0.739430,0.739810,0.739810,0
2013-11-06,0.742230,0.742460,0.738171,0.742220,0.742220,0
2013-11-07,0.739770,0.751552,0.739044,0.739750,0.739750,0
2013-11-08,0.745770,0.750677,0.744253,0.745760,0.745760,0
2013-11-11,0.749320,0.749320,0.745562,0.749180,0.749180,0
2013-11-12,0.745780,0.748285,0.743220,0.745750,0.745750,0
2013-11-13,0.744140,0.746681,0.743270,0.744050,0.744050,0
2013-11-14,0.741600,0.745045,0.741010,0.741310,0.741310,0
2013-11-15,0.743620,0.744341,0.740560,0.743550,0.743550,0
2013-11-18,0.741660,0.742080,0.738440,0.741620,0.741620,0
2013-11-19,0.740600,0.741270,0.738460,0.740500,0.740500,0
2013-11-20,0.737300,0.742981,0.737190,0.737060,0.737060,0
2013-11-21,0.744400,0.746269,0.742121,0.744390,0.744390,0
2013-11-22,0.742270,0.742750,0.738645,0.742290,0.742290,0
2013-11-25,0.737880,0.741250,0.737710,0.737880,0.737880,0
2013-11-26,0.738930,0.739454,0.737039,0.739230,0.739230,0
2013-11-27,0.736970,0.737500,0.734592,0.737040,0.737040,0
2013-11-28,0.736690,0.737140,0.734376,0.736720,0.736720,0
2013-11-29,0.735100,0.735290,0.734100,0.735080,0.735080,0
2013-12-02,0.736020,0.739200,0.734506,0.736100,0.736100,0
2013-12-03,0.738410,0.739340,0.735620,0.738440,0.738440,0
2013-12-04,0.735780,0.739082,0.735300,0.735800,0.735800,0
2013-12-05,0.736000,0.738263,0.731722,0.736030,0.736030,0
2013-12-06,0.731480,0.733552,0.730194,0.731530,0.731530,0
2013-12-09,0.729490,0.730188,0.728284,0.729580,0.729580,0
2013-12-10,0.727910,0.728000,0.724990,0.727790,0.727790,0
2013-12-11,0.726430,0.727569,0.724743,0.726510,0.726510,0
2013-12-12,0.725410,0.727363,0.724375,0.725370,0.725370,0
2013-12-13,0.727230,0.729350,0.726300,0.727230,0.727230,0
2013-12-16,0.727900,0.727900,0.724690,0.727840,0.727840,0
2013-12-17,0.726650,0.728491,0.725579,0.726590,0.726590,0
2013-12-18,0.726160,0.728078,0.725637,0.726150,0.726150,0
2013-12-19,0.730830,0.732540,0.730250,0.730730,0.730730,0
2013-12-20,0.732280,0.733900,0.729464,0.732290,0.732290,0
2013-12-23,0.731060,0.731299,0.729076,0.731080,0.731080,0
